grid,rho0,n_agents,attempts_total,stable_attempts,unstable_attempts,stability_fraction,max_rho_all_attempts,median_max_rho_all_attempts,max_u_all_attempts
100x100x100,1.0,30,100,100,0,1.0,1.016796322736398,1.0143153332509938,0.0499629823977269
100x100x100,1.0,40,100,100,0,1.0,1.0172595807214062,1.0148544762370824,0.0499629823977269
100x100x100,1.0,50,100,100,0,1.0,1.0210348998411254,1.0152398636062794,0.0570997001565486
100x100x100,1.0,60,100,100,0,1.0,1.0223508851714669,1.0156611642303166,0.0669441023674259
100x100x100,1.8,30,100,100,0,1.0,1.82252329011054,1.8154553473559898,0.058443998960178
100x100x100,1.8,40,100,100,0,1.0,1.82252329011054,1.816038551349602,0.058443998960178
100x100x100,1.8,50,100,100,0,1.0,1.822367005643826,1.8164655871375217,0.0571173873655283
100x100x100,1.8,60,100,100,0,1.0,1.822367005643826,1.8176702415110033,0.0571173873655283
100x100x100,2.93,30,100,100,0,1.0,2.9740493888503337,2.9623428218700685,0.0691569303215736
100x100x100,2.93,40,100,100,0,1.0,2.9740493888503337,2.9636524141394194,0.0691569303215736
100x100x100,2.93,50,100,100,0,1.0,2.9739181703213244,2.964354063443364,0.0678303187269238
100x100x100,2.93,60,100,100,0,1.0,2.9739181703213244,2.96604819492235,0.0678303187269238
100x100x100,4.55,30,100,100,0,1.0,10.514853454567287,4.607385641695634,1.0
100x100x100,4.55,40,100,100,0,1.0,10.14624494477819,4.609195737084387,0.9140360106747392
100x100x100,4.55,50,100,100,0,1.0,10.238696320279283,4.610365954297288,0.9459924890390246
100x100x100,4.55,60,100,100,0,1.0,11.641079696777178,4.612853158024198,1.0
130x130x130,1.0,30,100,100,0,1.0,1.016796322736398,1.0142414115041736,0.0516413596932589
130x130x130,1.0,40,100,100,0,1.0,1.0172153153860604,1.0150082074963402,0.052463530595524
130x130x130,1.0,50,100,100,0,1.0,1.025312273539736,1.0150739853933177,0.0865622041883265
130x130x130,1.0,60,100,100,0,1.0,1.0172153153860604,1.0152378259346526,0.0505855095471603
130x130x130,1.8,30,100,100,0,1.0,1.82252329011054,1.8155575350235555,0.058443998960178
130x130x130,1.8,40,100,100,0,1.0,1.82252329011054,1.816038551349602,0.058443998960178
130x130x130,1.8,50,100,100,0,1.0,1.822367005643826,1.8162185663896324,0.0571173873655283
130x130x130,1.8,60,100,100,0,1.0,1.822367005643826,1.817201018934691,0.0571173873655283
130x130x130,2.93,30,100,100,0,1.0,2.9740493888503337,2.96246695431833,0.0691569303215736
130x130x130,2.93,40,100,100,0,1.0,2.9740493888503337,2.9636524141394194,0.0691569303215736
130x130x130,2.93,50,100,100,0,1.0,2.9739181703213244,2.9638800086385775,0.0678303187269238
130x130x130,2.93,60,100,100,0,1.0,2.9739181703213244,2.965690047079736,0.0678303187269238
130x130x130,4.55,30,100,100,0,1.0,7.814830209609694,4.607595387257971,1.0
130x130x130,4.55,40,100,100,0,1.0,11.043280601458436,4.609251500106973,1.0
130x130x130,4.55,50,100,100,0,1.0,11.33929389265795,4.609612005233776,1.0
130x130x130,4.55,60,100,100,0,1.0,11.64818525476682,4.612290966526283,1.0000000000000002
